Card_Type_Code,Card_Type_Full_Name,Issuing_Bank,Card_Number,Card_Holders_Name,CVV_CVV2,Issue_Date,Expiry_Date,Billing_Date,Card_PIN,Credit_Limit
JC,JCB,Japan Credit Bureau,341573606329047,Jolie Gusikowski,838,05/2016,12/2019,7,4812,566382
DS,Discover,Discover,3589240859219250,Julien King,191,02/2016,09/2020,11,8045,164072
VI,Visa,GE Capital,2131943958006834,Janice Osinski,628,04/2010,05/2014,17,8886,88557
AX,American Express,American Express,35897250749920867,Garrick Wilkinson,370,03/2012,03/2016,8,9668,426377
AX,American Express,American Express,5000008591970480,Lukas Klocko,977,09/2018,10/2022,26,5591,359997
MC,Mastercard,U.S. Bancorp,4600135264985565,Shanelle Mann,8652,06/2001,03/2006,5,9790,62196
UP,UnionPay,Chase,4936981217118546179,Kim Zulauf,736,02/2001,02/2004,6,7500,488577
MC,Mastercard,Chase,6492825838781927040,Lauryn Huels,591,10/2018,12/2021,6,7013,657164
UP,UnionPay,GE Capital,341841039850461,Jovany Nikolaus,684,08/2008,11/2012,15,8906,182830
JC,JCB,Japan Credit Bureau,564333053663,Kennedy Flatley,993,11/2001,04/2006,22,3682,889563
VI,Visa,Bank of America,6062828688960141,Rene Weber,626,01/2019,01/2024,22,6739,57729
VI,Visa,Barclays,347631563911233,Eryn Jast,175,06/2013,11/2016,1,2871,116045
DS,Discover,Discover,627260655320318,Davon Jenkins,4955,04/2003,03/2008,2,9855,1319
MT,Maestro,U.S. Bancorp,3807804284775502514,Alexandrea Ledner,432,06/2002,07/2005,12,4193,719168
HR,Hiper,Wells Fargo,375497697377112,Aurelia Crist,252,11/2020,02/2025,11,7336,870732
DS,Discover,Discover,3972439092779998,Jamar Orn,193,03/2008,03/2013,21,7910,100852
DC,Diners Club,Diners Club International,627781047462088,Lynn Will,502,08/2001,02/2006,15,6739,189854
VI,Visa,Bank of America,2229279409692192,Jerrold Emard,170,05/2001,08/2005,26,5928,774837
DC,Diners Club,Diners Club International,62610183011551,Vicente Hettinger,102,04/2010,04/2013,2,6341,792299
DS,Discover,Discover,6375994170821837,Hilbert Schmeler,817,06/2017,11/2020,16,8044,95745
DS,Discover,Discover,6447227287757279,Sonia Roob,485,09/2014,06/2018,26,1094,477228
HR,Hiper,U.S. Bancorp,6448039212371114290,Marie Waters,579,11/2009,07/2013,25,8923,729778
HR,Hiper,Barclays,35895717490990929,Kathryn Crist,821,08/2000,07/2005,1,9067,60920
JC,JCB,Japan Credit Bureau,3982850912277898,Sylvia Leffler,502,06/2006,04/2011,22,4179,378249
DS,Discover,Discover,4576320158323129,Ruben Bailey,1893,09/2000,10/2003,19,3818,851308
MT,Maestro,U.S. Bancorp,6375688442168767,Carissa Stracke,7419,08/2010,05/2014,7,7139,269886
DC,Diners Club,Diners Club International,6505983611382098,Modesto Ebert,405,05/2012,09/2016,7,3229,661896
HC,Hipercard,Chase,6376094884234556,Lawrence Block,596,07/2009,11/2013,15,8245,925111
DS,Discover,Discover,3528835257364329,Vincenzo Veum,238,03/2018,07/2021,25,1698,356124
MC,Mastercard,Bank of America,6277809986971668,Vladimir Mosciski,620,01/2001,09/2005,25,6456,711666
DS,Discover,Discover,18007250258079843,Eduardo Smitham,942,03/2015,05/2018,25,7052,877606
UP,UnionPay,Bank of America,30008669448356,Camryn Klocko,734,06/2016,06/2020,13,1197,548060
AX,American Express,American Express,6593683012016179,Ana Leannon,724,10/2013,02/2018,8,5922,387947
HC,Hipercard,GE Capital,4747587546262631,Leif Kessler,172,07/2017,02/2022,14,9620,921692
DC,Diners Club,Diners Club International,2131088653136934819,Ivy Rogahn,8628,09/2005,02/2010,4,2773,378085
UP,UnionPay,Barclays,6062828704740659,Jeffry Farrell,2205,08/2011,10/2014,26,5760,770059
HC,Hipercard,Capital One,2720382782980368,Emmitt Macejkovic,128,06/2003,06/2007,3,5412,355731
DC,Diners Club,Diners Club International,6597129000164009008,Brayan Willms,860,11/2012,01/2016,20,6693,459029
EO,Elo,GE Capital,6370957248267619,Raegan Reichert,253,10/2006,10/2009,4,8839,246647
UP,UnionPay,Bank of America,6498292598981776,Marlee Turcotte,754,05/2011,06/2014,23,5576,93575
JC,JCB,Japan Credit Bureau,6441213968439994469,Donald Thompson,849,05/2006,09/2010,23,6369,989844
DS,Discover,Discover,3001205628843818457,Ashton Leannon,704,01/2020,09/2024,6,7695,53943
HR,Hiper,Wells Fargo,2640610581088927,Genoveva Streich,105,01/2012,12/2016,2,5992,559437
VI,Visa,Capital One,6376120779857589,Cameron Nolan,577,01/2009,09/2013,1,4691,152996
JC,JCB,Japan Credit Bureau,340662351860149,Stanley Lockman,513,12/2000,09/2004,16,7004,431449
VI,Visa,Capital One,346184993357081,Lauryn Johnson,220,01/2012,09/2016,2,5715,408408
UP,UnionPay,Barclays,4936981025038466,Cayla Metz,2672,10/2010,01/2014,16,7959,437837
HC,Hipercard,Wells Fargo,3005510365864457110,Fiona Towne,102,07/2011,03/2016,20,3869,472029
HC,Hipercard,Chase,6375993508495298,Arjun Graham,814,10/2015,03/2020,12,8386,837194
UP,UnionPay,Chase,4503908323222818,Eloy Rogahn,1958,09/2013,11/2017,7,2174,79898
DC,Diners Club,Diners Club International,3589931283307601570,Cassandra Beahan,753,05/2001,12/2004,15,9196,93020
EO,Elo,Bank of America,5173510310865843,Ronaldo Luettgen,973,12/2002,02/2006,15,5624,707458
UP,UnionPay,U.S. Bancorp,3810434947553566271,Emerson Leffler,104,01/2010,06/2013,18,8355,727442
MC,Mastercard,Capital One,2221225314082100,Jarod Maggio,706,01/2012,08/2016,26,5169,120296
DC,Diners Club,Diners Club International,5661510776607894,Reilly Hackett,192,11/2017,11/2020,25,1505,817598
VI,Visa,Barclays,346633857518741,Colin Jacobi,369,06/2011,01/2016,18,4732,298715
MC,Mastercard,Capital One,6376094704514849,Godfrey Treutel,737,10/2017,06/2022,23,4703,61250
VI,Visa,U.S. Bancorp,4384412729449749,Amanda Bergnaum,414,05/2001,09/2004,2,9948,897549
JC,JCB,Japan Credit Bureau,370905619336417,Hannah Kreiger,433,07/2005,02/2009,2,4154,114670
HC,Hipercard,Chase,627781239001738318,Antonia Mann,665,09/2003,07/2008,15,6024,954221
UP,UnionPay,Barclays,50000051259215,Jessika Crona,555,03/2016,07/2020,2,3319,482401
VI,Visa,Chase,343789531628588,Mireya Schumm,212,09/2003,10/2006,10,5099,907277
UP,UnionPay,U.S. Bancorp,2290976753161609,Kim Williamson,107,01/2010,08/2013,9,6399,523317
EO,Elo,GE Capital,36337540633900,Madison Erdman,546,08/2015,04/2019,25,8267,212782
HC,Hipercard,Chase,686635965896933,Ana Conn,232,12/2002,11/2007,11,1010,81737
MC,Mastercard,Wells Fargo,3000898880051587,Christine Fisher,474,05/2007,05/2010,3,8156,750311
DS,Discover,Discover,6220761267340668427,Fannie Schinner,191,01/2015,11/2018,18,3793,487312
JC,JCB,Japan Credit Bureau,3589355743548308,Jaleel Crist,777,03/2020,10/2024,4,8245,385985
DS,Discover,Discover,6370955678477278,Kayli Jast,707,06/2016,01/2020,6,3626,305763
MC,Mastercard,Chase,2229161052355485,Rosemarie Rowe,4366,01/2010,03/2014,13,5553,619458
AX,American Express,American Express,6500351803466506,Jimmie Torp,816,07/2020,06/2025,14,2849,233679
MT,Maestro,Capital One,3528264587476408,Quincy Thompson,376,10/2000,07/2004,18,9396,281527
DC,Diners Club,Diners Club International,2296068013552001,Cletus Kerluke,433,08/2017,09/2021,21,9240,313796
UP,UnionPay,Wells Fargo,6376092227277480,Erica Borer,479,05/2006,06/2009,11,4811,373929
DC,Diners Club,Diners Club International,30527469675181,Enrique Weber,244,03/2016,10/2020,24,2049,740790
JC,JCB,Japan Credit Bureau,6534575458816422346,Selmer Corwin,920,08/2011,07/2016,2,6846,888011
EO,Elo,Wells Fargo,373976894044601,Katheryn Mohr,460,01/2006,07/2010,24,3196,985931
MT,Maestro,Wells Fargo,6229994436356477,Ardella McCullough,280,03/2016,08/2019,21,5755,515633
DC,Diners Club,Diners Club International,5966271200724,Lenny Torphy,938,02/2015,07/2019,22,6560,244482
HC,Hipercard,U.S. Bancorp,6516793694027784,Lina Hammes,265,01/2002,02/2005,10,8980,32197
MT,Maestro,Capital One,4855572747042964,Herman Schneider,8349,01/2018,09/2021,14,8303,371346
MC,Mastercard,Barclays,4057268899987926,Rylee Witting,451,11/2004,07/2008,12,5362,379549
DS,Discover,Discover,6376129257101519,Jaida Bartoletti,955,08/2008,10/2012,14,2020,5353
HR,Hiper,U.S. Bancorp,3874832373499758,Jamey Rodriguez,920,04/2001,04/2006,26,3749,954755
MT,Maestro,GE Capital,6062823889327794,Elijah Raynor,714,11/2007,12/2011,5,4953,445630
DC,Diners Club,Diners Club International,358917349941905932,Zola Pollich,561,03/2012,11/2015,12,3410,858242
EO,Elo,Chase,3528332341619298,Esmeralda Gaylord,223,01/2007,01/2011,9,3551,825398
AX,American Express,American Express,4011798015345042,Amaya Zemlak,463,03/2020,09/2023,25,9484,497105
DC,Diners Club,Diners Club International,3004527374582704591,Giovanny Zieme,308,05/2015,08/2018,20,5736,45292
HR,Hiper,Capital One,348253100986567,Ceasar Borer,597,06/2006,06/2010,6,1966,285699
VI,Visa,Capital One,6362979092379597,Kaya Kozey,337,08/2018,06/2022,8,9106,821459
HR,Hiper,GE Capital,6062829531832818,Arianna Thompson,296,11/2010,08/2014,11,3877,388366
HC,Hipercard,GE Capital,6376120687755727,Teresa Franecki,538,05/2007,10/2011,20,4207,881334
DC,Diners Club,Diners Club International,2229706144819102,Cecelia Cartwright,384,09/2005,01/2010,10,1006,892372
EO,Elo,U.S. Bancorp,4190645048071082,Elenor Kulas,876,09/2010,01/2015,25,8242,334095
DC,Diners Club,Diners Club International,622010836740859,Curtis Nolan,958,03/2003,03/2007,23,3622,68103
HR,Hiper,Barclays,4562404704063698,Ora Schaden,728,11/2019,12/2022,9,5254,61389
JC,JCB,Japan Credit Bureau,4489821566815271,Terrence Hackett,954,05/2005,05/2009,8,7656,13692
UP,UnionPay,GE Capital,30041488344118,Donnell Thompson,460,11/2010,09/2014,13,3708,28564
JC,JCB,Japan Credit Bureau,605132160289789157,Guillermo Reinger,294,07/2015,02/2020,3,4888,617824
DS,Discover,Discover,4514162903750049,Mittie Dicki,489,11/2001,06/2006,11,7142,266725
HC,Hipercard,Barclays,506779200035648,Joshua Herzog,448,02/2009,09/2013,23,4705,955552
MT,Maestro,Chase,50669824477419311,Frankie Wilderman,3337,07/2009,06/2014,14,3711,494859
JC,JCB,Japan Credit Bureau,348580504610421,Augustus Kshlerin,103,03/2013,07/2017,25,6816,488380
HR,Hiper,Bank of America,6507182755760775,Alison Durgan,876,12/2014,03/2019,14,5183,918999
DC,Diners Club,Diners Club International,375463928559977,Dolly Baumbach,489,02/2016,01/2021,17,2842,750358
DC,Diners Club,Diners Club International,6494922845528368,Marquise Blanda,522,09/2014,05/2018,10,2707,874530
UP,UnionPay,Bank of America,4578027409211684,Gerson Huels,509,05/2003,03/2008,13,4932,542268
AX,American Express,American Express,2649046892435187,Abbigail McLaughlin,868,08/2014,07/2018,21,5114,451880
VI,Visa,Barclays,2229164214257334,Keagan Donnelly,578,02/2014,05/2018,16,7543,915888
HC,Hipercard,U.S. Bancorp,21310564957155910,Jacques Harvey,361,11/2018,03/2022,17,3956,106085
HR,Hiper,Wells Fargo,81633430657309278,Blanca Bosco,180,05/2008,07/2012,1,2193,615596
DC,Diners Club,Diners Club International,4779306761221276,Vita Krajcik,220,02/2004,05/2008,1,7145,467642
EO,Elo,U.S. Bancorp,6505983814285528,Trudie Murazik,622,03/2010,12/2014,19,8393,25276
MC,Mastercard,Wells Fargo,6375991173837752,Kariane Howell,2828,05/2013,10/2016,10,4189,997773
UP,UnionPay,GE Capital,6062820164191721,Muriel Huels,556,02/2012,04/2016,5,3224,123549
UP,UnionPay,Wells Fargo,629125795769229,Andreanne Kozey,290,06/2020,10/2023,9,6063,527392
MC,Mastercard,GE Capital,379371405571546,Braden Marks,540,04/2020,11/2024,23,1312,328677
HR,Hiper,Capital One,6376128355322241,Allison Abernathy,292,10/2018,09/2023,22,4805,902071
DS,Discover,Discover,5067790027092,Estella Rodriguez,718,10/2008,02/2012,6,7652,243480
VI,Visa,GE Capital,6062827122563107,Ryann Tremblay,990,08/2010,07/2015,5,1995,867209
MC,Mastercard,U.S. Bancorp,352873515600973180,Marty Hudson,116,04/2009,07/2012,9,2446,519527
UP,UnionPay,Bank of America,6062821533465978,Josephine Braun,651,09/2003,06/2008,4,2715,822688
DS,Discover,Discover,348442597152938,Amir Feeney,813,01/2008,11/2012,5,3557,701998
HC,Hipercard,U.S. Bancorp,4011794280203784,Derick Renner,798,08/2002,09/2005,9,2213,301808
MC,Mastercard,Wells Fargo,6376097436004559,Camren Frami,379,10/2003,09/2008,12,3386,230778
MT,Maestro,Barclays,6376097806680780,Kole Watsica,551,02/2004,12/2007,16,7653,943312
VI,Visa,GE Capital,4627736342037441,Naomi Runolfsson,207,11/2013,08/2017,24,4377,820722
HC,Hipercard,Wells Fargo,2221479662633176,Trudie Koepp,279,11/2014,06/2018,27,2006,725199
VI,Visa,Bank of America,2711044395389533,Elta Yundt,600,11/2019,06/2024,7,6342,773156
VI,Visa,GE Capital,6509784632327567,Dolores Gaylord,799,12/2014,08/2019,21,3853,917633
DS,Discover,Discover,4576320685899054,Cornelius Borer,976,01/2015,03/2019,18,7216,982401
MT,Maestro,Capital One,69799979850283537,Nicholaus Muller,637,02/2019,05/2023,12,7540,820139
EO,Elo,U.S. Bancorp,6370951112504074,Evangeline Heidenreich,167,05/2019,04/2024,8,3196,737563
DS,Discover,Discover,2131699634477738,Neva Medhurst,746,07/2003,03/2007,22,4423,48418
MT,Maestro,Chase,622925466386048,Jordyn Corwin,205,08/2015,10/2019,21,9875,763751
MT,Maestro,Wells Fargo,6062826895695799,Rosetta Wehner,584,01/2015,10/2018,27,7924,68502
UP,UnionPay,Chase,347182443849318,Janae Stroman,2784,05/2002,01/2006,15,3307,900026
MC,Mastercard,Bank of America,6370953572475670,Jada Runte,759,07/2015,10/2019,18,4266,556953
MT,Maestro,U.S. Bancorp,180058312972073977,Evans Kris,286,06/2006,10/2010,9,3398,539625
VI,Visa,Barclays,5548061950188631,Ramona Kautzer,905,07/2018,03/2022,20,4123,931065
VI,Visa,Chase,2229757081616308,Alberta Kutch,607,07/2014,09/2018,3,3974,689920
HR,Hiper,Wells Fargo,3054285156228595088,Sherman Torp,237,01/2019,08/2022,24,8074,368985
DS,Discover,Discover,4455554805596309,Jed Lehner,379,11/2002,03/2007,1,3330,766500
EO,Elo,Wells Fargo,6062825298376858,Price Bailey,749,12/2012,03/2016,7,6579,978410
DS,Discover,Discover,4971879345573848,Pauline Rolfson,1460,10/2009,01/2013,6,4860,226892
MC,Mastercard,GE Capital,375359008097120,Name Grimes,320,10/2007,03/2012,25,3061,412842
AX,American Express,American Express,6289702262421000951,Percival Doyle,895,11/2006,08/2010,19,8104,607569
EO,Elo,U.S. Bancorp,2221564063712701,Claudine Roberts,7545,08/2008,12/2012,26,8593,865703
AX,American Express,American Express,374542912781761,Jaycee Walker,951,09/2017,02/2022,23,9554,224207
DC,Diners Club,Diners Club International,3614028783647236,Meaghan Shanahan,852,08/2018,04/2023,6,2659,668542
MC,Mastercard,U.S. Bancorp,2616626115215968,Brice Murphy,418,09/2012,02/2016,20,5823,539072
AX,American Express,American Express,4573936891949442,Isaiah Bergstrom,584,12/2002,04/2006,26,3485,527657
MC,Mastercard,Bank of America,2230530780368134,Avery Crooks,164,12/2000,06/2004,8,1496,53001
DC,Diners Club,Diners Club International,378207656846289,Verner Barrows,679,11/2014,04/2019,8,7760,885708
DC,Diners Club,Diners Club International,2131019612784758189,William Tromp,601,11/2003,04/2008,3,9895,340394
HC,Hipercard,U.S. Bancorp,3818783350716998749,Scot Hackett,134,06/2019,10/2022,17,7387,213390
MC,Mastercard,U.S. Bancorp,6492021774594871,Ophelia Bruen,622,09/2009,02/2014,9,1937,645785
MC,Mastercard,Bank of America,6446946768260113269,Alfred Klein,9132,03/2020,04/2023,24,9207,79609
MT,Maestro,Capital One,621976124340928,Madonna Mohr,845,03/2001,06/2005,24,8600,434865
DS,Discover,Discover,371361086929582,Elna Terry,509,07/2020,01/2024,26,4810,118641
EO,Elo,Wells Fargo,344556942277407,Federico Ondricka,9858,01/2002,08/2005,15,9343,540134
UP,UnionPay,Wells Fargo,6505984262854294,Candice Franecki,121,10/2019,12/2023,1,6769,874806
DC,Diners Club,Diners Club International,6011131131016658,Hester Shields,430,02/2015,03/2019,12,2203,35582
UP,UnionPay,Bank of America,6443264135448169,Alejandra Kovacek,522,07/2020,03/2025,6,5841,570778
VI,Visa,GE Capital,3051713709276615402,Allan Ritchie,545,04/2004,11/2008,5,3207,775956
VI,Visa,Wells Fargo,629221616594621,Hassie Mohr,157,08/2004,09/2008,25,7074,576447
AX,American Express,American Express,6516527159896030,Minerva Becker,8063,05/2002,06/2005,23,1933,737686
HR,Hiper,Chase,342219563634248,Paige Dach,487,05/2017,10/2020,16,7271,30462
DC,Diners Club,Diners Club International,35280025352529451,Shirley Hane,535,04/2020,12/2023,20,2013,529595
JC,JCB,Japan Credit Bureau,378864044925249,Donavon Ruecker,941,07/2017,02/2021,6,9264,660449
VI,Visa,Barclays,341499405137029,Maudie Ebert,330,07/2008,10/2011,6,4802,674437
HC,Hipercard,Capital One,35899991540814589,Natalia Streich,565,06/2015,11/2019,1,9207,209685
HR,Hiper,Bank of America,6062820420708391,Rita Morar,749,11/2014,09/2019,6,9920,58970
HC,Hipercard,Barclays,2720258065630757,Keshawn Kuhic,542,06/2019,02/2023,6,4149,559364
VI,Visa,Barclays,6550214050271772,Julianne Corkery,318,11/2009,06/2014,12,2108,12857
MT,Maestro,Wells Fargo,6550549236961204,Riley Jacobs,117,01/2005,09/2008,22,1623,69043
DC,Diners Club,Diners Club International,670649032268289,Joanie Simonis,823,10/2009,03/2013,3,7260,546284
AX,American Express,American Express,2296354326112216,Willis Feest,792,02/2002,05/2006,27,8244,474026
HC,Hipercard,U.S. Bancorp,21310857513423966,Gunnar Feil,767,06/2008,01/2013,21,5070,741728
EO,Elo,U.S. Bancorp,38346515941444,Justice Mills,572,03/2020,02/2024,17,4550,830368
MC,Mastercard,Barclays,340162446765957,Nathanael Cronin,885,10/2007,02/2012,23,8210,357814
EO,Elo,Barclays,1800650453609307075,Uriel Hahn,726,10/2018,12/2021,5,1335,235605
HC,Hipercard,Chase,5000003388878,Maggie Bosco,956,05/2014,01/2018,6,5141,849463
UP,UnionPay,Wells Fargo,30501768681133,Annamae Lockman,191,03/2008,12/2011,6,9919,842701
DS,Discover,Discover,6495986761669539489,Madilyn Cummerata,490,12/2007,09/2012,19,8278,742711
EO,Elo,U.S. Bancorp,213150700071927687,Ottilie Bayer,721,05/2016,06/2020,17,7189,793555
EO,Elo,GE Capital,6595354270032112,Mable Stoltenberg,233,12/2002,07/2006,13,3666,458227
UP,UnionPay,Bank of America,6570561051321869422,Marietta Wisoky,190,04/2017,01/2022,19,9578,614912
DC,Diners Club,Diners Club International,6376099666615518,Nora Ebert,176,01/2019,12/2023,17,1241,259188
EO,Elo,Barclays,622126986994557,Jeromy Klocko,279,01/2008,08/2012,25,9115,693676
AX,American Express,American Express,6550217983895179,Jalen Kautzer,249,12/2014,04/2018,14,8214,381486
JC,JCB,Japan Credit Bureau,5154807232627019,Ken Considine,162,06/2008,04/2013,3,2847,101550
VI,Visa,Wells Fargo,6375994805461371,Braden Sawayn,454,12/2008,03/2012,12,5700,920245
JC,JCB,Japan Credit Bureau,2720827294607719,Casper Hartmann,700,05/2011,06/2014,6,7936,623255
UP,UnionPay,U.S. Bancorp,5099993268436638,Jaleel Walsh,210,01/2012,05/2015,18,9453,807810
MT,Maestro,Chase,35280586959120259,Heloise Moen,280,06/2017,06/2021,19,6911,166980
EO,Elo,Chase,6370951066766778,Ludwig Thiel,285,10/2015,07/2020,15,6345,461079
MT,Maestro,Chase,6375995855540758,Jayde West,474,04/2006,07/2009,26,8306,450682
DC,Diners Club,Diners Club International,677824337708,Jacinto Schinner,598,11/2013,09/2018,9,9760,721436
EO,Elo,Bank of America,39477178652397,Cleve Herzog,332,12/2002,07/2007,27,5630,400649
JC,JCB,Japan Credit Bureau,6375990712637129,Jenifer Gottlieb,215,06/2010,02/2014,13,8050,124571
VI,Visa,Wells Fargo,506779757847739018,Itzel Swaniawski,853,09/2004,02/2009,6,7744,275084
EO,Elo,Barclays,6522776969891156767,Taya Borer,441,10/2000,12/2004,16,7551,581523
UP,UnionPay,Wells Fargo,6062826773654058,Sabrina Feest,180,02/2012,08/2015,5,1457,899375
MC,Mastercard,Wells Fargo,6062823987512610,Furman Walter,786,05/2004,12/2008,11,8702,484368
UP,UnionPay,GE Capital,6504856396669023,Chasity Kessler,701,05/2008,11/2012,14,8241,431220
MC,Mastercard,Capital One,6550191623814017,Jennyfer Torp,7254,11/2016,12/2020,4,6826,117782
HR,Hiper,Wells Fargo,4076285736216167,Melyssa Runolfsdottir,409,11/2008,07/2013,5,6028,425378
HC,Hipercard,Chase,6062829370892097,Caterina Turcotte,725,09/2020,07/2025,21,4503,977498
UP,UnionPay,Chase,5642063558015294,Alisa Hammes,359,01/2006,10/2010,3,2098,588621
MC,Mastercard,U.S. Bancorp,6062828219215676,Viola Mohr,644,01/2007,12/2011,24,9153,359057
UP,UnionPay,U.S. Bancorp,352821259233751191,Lizzie Leffler,584,04/2002,03/2007,4,8720,786444
MC,Mastercard,Bank of America,370050776257062,Dorothy Parker,680,04/2015,05/2018,2,4915,574018
HR,Hiper,GE Capital,815113120324526,Izabella Boehm,743,09/2008,08/2012,15,8637,172596
HR,Hiper,Capital One,8170801638933729,Jarvis Gulgowski,680,12/2013,10/2018,26,1961,354538
DS,Discover,Discover,6497366517247200259,Callie Howe,143,05/2014,01/2019,6,2606,264317
AX,American Express,American Express,3958751949151017,Monty Gottlieb,227,05/2018,12/2021,8,2454,763601
AX,American Express,American Express,358982491975854568,Bertha Murazik,831,11/2001,09/2006,23,2454,75693
DS,Discover,Discover,6062820989697472,Dejuan Boyer,318,11/2019,02/2024,24,2342,123821
MT,Maestro,Capital One,6500356282319548,Pearline Wintheiser,559,07/2016,07/2020,1,2992,898211
UP,UnionPay,Barclays,3005732063257826338,Ezra Hermann,781,01/2004,10/2008,2,6622,233790
HR,Hiper,Capital One,342246807762907,Leann Tremblay,538,09/2016,01/2020,14,6595,433372
VI,Visa,Wells Fargo,627239802183746058,Ethel Marvin,1553,11/2008,06/2012,9,2871,332556
MT,Maestro,Capital One,4115272010349248,Sonny Spencer,315,04/2003,02/2007,7,4707,639961
MC,Mastercard,Bank of America,1800992460708488,Earnestine Fay,751,11/2004,04/2009,9,2125,519864
MT,Maestro,Capital One,346822309164705,Carrie Prosacco,255,03/2007,09/2011,24,5558,84897
HC,Hipercard,GE Capital,6564209103994804,Tiana Schultz,318,02/2000,11/2003,25,8274,423654
HR,Hiper,GE Capital,345899342287470,Kamren Treutel,446,09/2001,11/2005,19,6349,908843
VI,Visa,Bank of America,6301215314914950,Francisco Ondricka,884,02/2015,07/2019,4,2822,433354
HC,Hipercard,Wells Fargo,62726845404370,Eden Collier,971,07/2017,10/2020,1,1224,782890
HR,Hiper,Capital One,5090002171005883,Ali Kassulke,957,04/2006,12/2010,5,9789,64068
HC,Hipercard,GE Capital,6011216242979024741,Tremayne Feeney,879,12/2020,03/2025,22,4088,148778
MT,Maestro,Barclays,2655185627504916,Joel Grant,419,08/2008,03/2012,15,1190,419526
MT,Maestro,Wells Fargo,213148872570422208,Jaycee Dickinson,398,04/2000,02/2004,1,1103,159375
EO,Elo,Chase,6218755858652054,Cloyd Hettinger,422,01/2014,07/2017,17,1033,108642
HC,Hipercard,Wells Fargo,6443808199449859,Daniela Feest,934,10/2018,12/2022,25,6374,882664
HR,Hiper,GE Capital,5681540706050,Isabell Ernser,374,12/2009,05/2014,14,5921,685947
HC,Hipercard,Chase,344462844705019,Wilma Hintz,524,08/2015,09/2018,22,4993,815231
EO,Elo,U.S. Bancorp,4292036125023161,Lyda Raynor,423,01/2013,03/2016,3,6915,154416
UP,UnionPay,Capital One,62197740875298,Sasha Leffler,818,09/2010,02/2014,21,3651,869135
AX,American Express,American Express,2390658799537898,Calista Wiegand,584,08/2016,03/2021,4,5768,853444
AX,American Express,American Express,6062821740279998,Camila Littel,312,02/2005,05/2008,16,2742,928608
EO,Elo,Wells Fargo,8131137673571878,Jason Brekke,312,10/2000,04/2005,9,8011,410847
HR,Hiper,Barclays,622010181553759579,Hallie Wyman,534,08/2001,07/2006,7,2167,204389
AX,American Express,American Express,377826104997039,Damaris Reinger,8543,05/2006,08/2010,21,7270,894615
AX,American Express,American Express,2720705760944206,Isom Huels,232,11/2005,03/2009,4,6434,907147
EO,Elo,Wells Fargo,627086485934603259,Sylvan Shields,127,12/2005,05/2009,18,7708,971988
HR,Hiper,Capital One,508999427704986,Magali Ledner,197,10/2018,11/2021,14,2073,984385
VI,Visa,Chase,4936985198571567603,Percy Gleichner,246,12/2002,01/2006,4,4166,629290
JC,JCB,Japan Credit Bureau,6516337053883153,Kameron Lind,885,06/2012,01/2017,16,9063,620591
VI,Visa,Barclays,627039789894197667,Dandre Bartoletti,317,01/2005,11/2009,21,3216,379292
JC,JCB,Japan Credit Bureau,6062829419214592,Connor Leannon,418,10/2003,09/2008,14,7715,162553
MT,Maestro,U.S. Bancorp,3055420517272333259,Arlie Kulas,440,02/2015,11/2018,8,2208,479695
UP,UnionPay,Wells Fargo,627799597550896,Akeem Johnston,433,02/2000,04/2003,8,1025,315255
DC,Diners Club,Diners Club International,6062822561457788,Kaley Zieme,528,11/2015,02/2020,18,2027,598955
VI,Visa,Barclays,6500337053679278,Reece Kovacek,960,02/2003,10/2007,9,7967,260646
DS,Discover,Discover,6370951774945334,Tess Heller,352,03/2016,05/2019,4,5534,37906
HC,Hipercard,Wells Fargo,6062829704136583,Hallie Lindgren,894,04/2006,05/2010,5,8751,855740
UP,UnionPay,Wells Fargo,346062089795028,Arvel Kutch,611,12/2003,07/2008,7,1956,872922
MC,Mastercard,U.S. Bancorp,4777813887766045,Eleazar Rutherford,293,04/2004,06/2008,7,3153,402641
MT,Maestro,Bank of America,3660373476563693,Lilla Wolff,543,10/2007,04/2012,2,6036,899605
EO,Elo,Bank of America,6363689318517479,Era Smith,457,06/2004,03/2009,20,3533,295736
UP,UnionPay,U.S. Bancorp,4427378347479385,Ayana Nikolaus,835,03/2012,09/2015,23,6421,603622
DS,Discover,Discover,4295969358270918,Gino Schroeder,498,09/2017,11/2020,9,3252,670806
DS,Discover,Discover,4627550811207488,Ryder Schamberger,356,10/2002,08/2006,2,8214,461242
EO,Elo,Chase,3528282160789483862,Damien Dicki,292,03/2005,03/2009,7,7650,50321
VI,Visa,GE Capital,6062828946871155,Zion Bogisich,870,05/2016,02/2021,26,3069,522321
EO,Elo,GE Capital,506779489422,Omari Wyman,1331,07/2009,08/2012,6,1415,344212
MC,Mastercard,U.S. Bancorp,622999168780899,Kevon Casper,515,08/2004,06/2008,2,8202,535827
VI,Visa,Chase,4583434472484086,Sarina Schumm,951,07/2019,02/2024,9,7494,227188
HR,Hiper,Capital One,2296471130513403,Vincenzo Osinski,754,10/2003,06/2008,22,2638,673349
HC,Hipercard,Chase,4936989357034,Rosie Flatley,587,08/2020,10/2024,16,5811,775633
JC,JCB,Japan Credit Bureau,3589545636010202630,Kasey Halvorson,373,04/2003,12/2006,21,2288,978170
AX,American Express,American Express,21319878349020678,Giovanni Barrows,195,09/2017,10/2021,8,5964,395594
DC,Diners Club,Diners Club International,2644127820799954,Gina Brown,786,11/2017,07/2021,23,2582,490997
